msisdn,activation_date,cell_id,Date_of_birth,Value_band,tenure,service_class,total_spent,voice_spent,data_spent,sms_spent,other_spent,int_out_duration,int_out_count,out_billed_sms_count,out_unbilled_sms_count,total_sms_count,onnet_sms_count,offnet_sms_count,int_sms_count,gpprs_traffic_up_down,fnf_in_use,call_me_back,out_mms_count,out_mms_usage,peak_out_count,out_call_duration_billed,gpprs_traffic_up_down_billed,off_peak_out_count,onnet_count,offnet_count,out_call_duration,onnet_call_duration,offnet_call_duration,midnight_out_duration,midnight_out_count,int_inc_count,onnet_inc_count,onnet_inc_dur,offnet_inc_count,offnet_inc_dur,inc_sms_count,peak_inc_count,peak_inc_dur,off_peak_inc_count,off_peak_inc_dur,inc_call_duration,midnight_inc_duration,midnight_inc_count,total_recharge_count,total_recharge_amount,recharge_card_count,recharge_card_amount,recharge_evd_count,recharge_evd_amount,recharge_momo_count,recharge_momo_amount,subscription_amt,Total_Revenue,momo_fees,vas_spent,data_bundled_purchase,tenure_years,age,Revenue_per_Minute,Recharge_Frequency,Cluster,Segment_Label
5B98E367C23E4872,21-May-2021,62001-40682-14294,1983-05-31,HMV,47,1,22.059765999999986,22.059765999999986,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,182.8,0.0,0.0,113.0,1.0,182.8,175.26666666666668,7.533333333333333,0.0,0.0,0.0,53.0,50.0,0.0,0.0,0.0,49.0,36.0,2.0,2.0,50.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,0.0,5.0,32.0,10.0,62.65976599999998,30.6,0.0,19.0,3.8767123287671232,41.87671232876713,0.12002048966267674,5.333333333333333,4,Call Heavy User
2FF1ECA31ABF1383,28-Dec-2020,62001-60527-57902,1992-08-15,HMV,52,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,474.0,462.0,12.0,0.0,7777.0,0,0.0,0.0,0.0,0.0,370.1,0.0,0.0,139.0,3.0,370.1,368.5833333333333,1.5166666666666666,0.0,0.0,0.0,150.0,526.0,0.0,0.0,0.0,145.0,487.0,2.0,6.0,526.0,0.0,0.0,2.0,2.07,0.0,0.0,0.0,0.0,2.0,2.07,56.14,97.22,41.07999999999999,0.0,2.79,4.271232876712329,32.66027397260274,0.0,0.69,4,Call Heavy User
5391F6FCB21A4531,12-Jan-2022,62001-420-20214,1990-07-01,HMV,39,4,32.064800000000005,31.2048,0.0,0.86,0.0,0.0,0.0,5.0,9.0,14.0,2.0,12.0,0.0,931.0,0,0.0,0.0,0.0,0.0,783.7666666666667,0.0,0.0,587.0,10.0,791.1833333333333,783.1,8.083333333333334,0.0,0.0,0.0,536.0,805.0,0.0,0.0,0.0,458.0,698.0,20.0,52.0,805.0,2.0,3.0,6.0,42.0,0.0,0.0,2.0,13.0,4.0,29.0,9.9,80.5548,38.59,0.0,19.0,3.23013698630137,34.78630136986301,0.0397631567769613,6.0,2,Peak-Time Receiver
71874E4B4D4767B4,28-Apr-2021,62001-619-39972,1981-04-18,HMV,48,1,10.027170000000002,10.027170000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1852.0,0,0.0,0.0,0.0,0.0,328.6666666666667,0.0,0.0,274.0,10.0,328.6666666666667,324.45,4.216666666666667,0.0,0.0,0.0,212.0,167.0,0.0,0.0,0.0,187.0,150.0,14.0,1.0,167.0,0.0,5.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,10.0,37.0,67.02717,20.0,0.0,10.0,3.9397260273972603,43.99452054794521,0.030416086956521742,3.3333333333333335,4,Call Heavy User
D8317306723FE116,05-Jan-2022,62001-409-28851,1991-07-23,HMV,39,4,48.986399999999975,48.986399999999975,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,461.4,0.0,0.0,289.0,1.0,461.95,461.78333333333336,0.1666666666666666,0.0,0.0,0.0,267.0,629.0,0.0,0.0,0.0,199.0,501.0,11.0,8.0,629.0,6.0,11.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,100.0,10.45,69.43639999999998,10.0,0.0,19.0,3.249315068493151,33.726027397260275,0.10593944636678196,50.0,4,Call Heavy User
F96CD26336CE7C6F,09-Jan-2013,62001-11413-153916291,1995-11-24,HMV,149,3,10.064454,9.064454,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,32.0,10.0,0.0,2370.0,0,0.0,0.0,0.0,0.0,45.25,0.0,0.0,47.0,8.0,45.25,40.53333333333333,4.716666666666667,0.0,0.0,0.0,201.0,175.0,0.0,0.0,0.0,195.0,167.0,1.0,1.0,175.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,10.0,6.0,53.23445399999999,37.17,1.0,6.0,12.243835616438357,29.383561643835616,0.19598819459459457,5.0,4,Call Heavy User
3FEFDF4052A050A0,20-Dec-2004,62001-10812-153886210,1969-01-12,HMV,247,3,20.363627,16.863627,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,0.0,65981.0,0,0.0,0.0,0.0,0.0,1016.9833333333332,0.0,0.0,381.0,29.0,1018.4666666666668,971.5833333333334,46.88333333333333,0.0,0.0,0.0,276.0,641.0,0.0,0.0,0.0,244.0,567.0,24.0,57.0,641.0,0.0,1.0,5.0,44.0,0.0,0.0,0.0,0.0,5.0,44.0,17.0,75.66362699999999,38.3,3.5,14.0,20.304109589041097,56.26575342465753,0.016565720132942587,7.333333333333333,2,Peak-Time Receiver
29A8B33613360E36,19-May-2005,62001-60141-31324,1968-03-06,HMV,242,3,73.87065500000007,68.37065500000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,425.6666666666667,0.0,0.0,309.0,25.0,425.6666666666667,390.6333333333333,35.03333333333333,0.0,0.0,0.0,175.0,108.0,0.0,0.0,0.0,166.0,104.0,7.0,4.0,108.0,0.0,0.0,17.0,90.0,0.0,0.0,0.0,0.0,17.0,90.0,6.0,87.17065500000007,7.3,5.5,19.0,19.893150684931506,57.12054794520548,0.16024372265625006,5.0,4,Call Heavy User
7897B74324999EE9,05-Dec-2017,62001-60116-6906,1997-08-07,HMV,89,1,7.264501000000003,2.4645010000000003,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,125.0,10.0,0.0,1577.0,0,0.0,0.0,0.0,0.0,495.2166666666666,0.0,0.0,228.0,13.0,495.51666666666665,485.5,10.016666666666667,0.0,0.0,0.0,308.0,448.0,0.0,0.0,0.0,252.0,282.0,10.0,6.0,448.0,0.0,3.0,4.0,38.0,0.0,0.0,1.0,20.0,3.0,18.0,42.35000000000001,57.23450100000001,7.62,4.800000000000001,19.0,7.336986301369863,27.67945205479452,0.0049665824740536746,7.6,4,Call Heavy User
66E284735FBAF924,26-Nov-2016,62001-60126-5056,1955-12-14,HMV,102,1,25.475667,11.335666999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,411.56666666666666,0.0,0.0,118.0,2.0,414.1,411.9,2.2,0.0,0.0,0.0,170.0,753.0,0.0,0.0,0.0,164.0,741.0,5.0,6.0,753.0,0.0,0.0,9.0,54.0,0.0,0.0,2.0,4.0,7.0,50.0,27.5,69.175667,16.200000000000003,14.14,19.0,8.361643835616439,69.35616438356165,0.027475964288599813,5.4,4,Call Heavy User
F5FD4D69D05FF668,11-Jun-2018,62001-21102-720642,1992-12-22,HMV,83,3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,98.0,5.0,0.0,23896.0,0,0.0,0.0,0.0,0.0,837.15,0.0,0.0,196.0,15.0,837.15,786.1666666666666,50.98333333333333,0.0,0.0,0.0,107.0,198.0,0.0,0.0,0.0,94.0,160.0,1.0,0.0,198.0,0.0,1.0,10.0,45.0,0.0,0.0,1.0,5.0,9.0,40.0,40.93,50.23,7.699999999999999,1.6,37.5,6.821917808219178,32.30684931506849,0.0,4.090909090909091,4,Call Heavy User
4F350E7BB6F8232F,11-Nov-2013,62001-402-18326,1960-08-18,HMV,139,1,26.998794999999973,26.05879499999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,297.96666666666664,0.0,0.0,157.0,4.0,297.96666666666664,293.51666666666665,4.45,0.0,0.0,0.0,219.0,300.0,0.0,0.0,0.0,204.0,241.0,4.0,8.0,300.0,1.0,1.0,6.0,29.5,0.0,0.0,5.0,25.0,1.0,4.5,9.35,62.64879499999997,26.3,0.94,19.0,11.405479452054795,64.67397260273972,0.08716287768982041,4.214285714285714,4,Call Heavy User
21719F27A702104B,22-Feb-2004,62001-41307-482061,1970-06-16,HMV,257,4,1.000003,1.000003,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,4430.0,0,0.0,0.0,0.0,0.0,612.3166666666667,0.0,0.0,348.0,6.0,614.4,610.5,3.55,0.0,0.0,0.0,367.0,363.0,0.0,0.0,0.0,348.0,350.0,14.0,6.0,363.0,1.0,1.0,2.0,23.0,0.0,0.0,0.0,0.0,2.0,23.0,50.0,60.000003,9.0,0.0,30.0,21.13150684931507,54.84109589041096,0.0016304839805429494,7.666666666666667,4,Call Heavy User
54AE74A65D0EF8C1,15-Feb-2017,62001-40685-13179,1994-09-02,HMV,99,1,17.187103,17.187103,0.0,0.0,0.0,2.0,2.0,0.0,40.0,40.0,39.0,1.0,0.0,3999.0,0,0.0,0.0,0.0,0.0,418.1166666666667,0.0,0.0,102.0,1.0,418.48333333333335,415.8333333333333,0.65,0.0,0.0,0.0,203.0,866.0,0.0,0.0,0.0,167.0,731.0,14.0,75.0,866.0,1.0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,3.0,17.0,44.5,72.68710300000001,11.0,0.0,3.0,8.139726027397261,30.610958904109587,0.04100792062671492,4.25,2,Peak-Time Receiver
F588D06C7580D7DC,03-Mar-2017,62001-35101-56623362,1985-04-20,HMV,98,4,0.4056,0.4056,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,6213.0,0,0.0,0.0,0.0,0.0,307.6333333333333,0.0,0.0,121.0,1.0,307.6333333333333,307.5833333333333,0.05,0.0,0.0,0.0,154.0,193.0,0.0,0.0,0.0,148.0,191.0,3.0,1.0,193.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,56.4056,52.0,0.0,4.0,8.095890410958905,39.986301369863014,0.001314180797062318,2.5,4,Call Heavy User
158F3E8A5C372710,13-Apr-2018,62001-34201-501254,1995-09-24,HMV,85,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,6674.0,0,0.0,0.0,0.0,0.0,866.6333333333333,0.0,0.0,339.0,2.0,866.6333333333333,863.9333333333333,2.7,0.0,0.0,0.0,306.0,690.0,0.0,0.0,0.0,292.0,663.0,8.0,27.0,690.0,0.0,0.0,5.0,21.0,0.0,0.0,1.0,5.0,4.0,16.0,70.5,74.88,4.38,0.0,19.0,6.983561643835617,29.55068493150685,0.0,3.5,2,Peak-Time Receiver
